Date,Open,High,Low,Close,Adj Close,Volume
2020-06-09,267.450012,271.209991,264.470001,267.200012,267.200012,0
2020-06-10,270.929993,278.959991,260.920013,278.899994,278.899994,0
2020-06-11,278.609985,282.309998,260.239990,264.420013,264.420013,0
2020-06-12,270.070007,271.890015,260.220001,262.010010,262.010010,0
2020-06-15,257.089996,269.859985,249.960007,268.570007,268.570007,0
2020-06-16,268.000000,270.600006,259.880005,261.170013,261.170013,0
2020-06-17,262.589996,265.570007,259.220001,261.269989,261.269989,0
2020-06-18,261.269989,262.679993,256.220001,256.929993,256.929993,0
2020-06-19,261.790009,270.950012,260.489990,266.790009,266.790009,0
2020-06-22,273.380005,281.619995,273.260010,277.450012,277.450012,0
2020-06-23,282.730011,286.390015,280.190002,282.309998,282.309998,0
2020-06-24,279.829987,284.329987,272.779999,276.660004,276.660004,0
2020-06-25,276.730011,278.720001,272.579987,278.549988,278.549988,0
2020-06-26,276.519989,281.549988,271.480011,280.220001,280.220001,0
2020-06-29,280.220001,284.899994,279.399994,284.869995,284.869995,0
2020-06-30,284.100006,295.420013,281.859985,294.760010,294.760010,0
2020-07-01,294.760010,295.109985,285.359985,294.769989,294.769989,0
2020-07-02,292.339996,298.559998,290.850006,291.589996,291.589996,0
2020-07-06,296.320007,299.859985,293.739990,297.170013,297.170013,0
2020-07-07,296.109985,307.600006,295.950012,305.820007,305.820007,0
2020-07-08,312.679993,317.079987,309.429993,315.350006,315.350006,0
2020-07-09,318.940002,319.320007,305.679993,313.179993,313.179993,0
2020-07-10,316.119995,316.660004,308.720001,311.540009,311.540009,0
2020-07-13,316.929993,318.950012,299.209991,299.670013,299.670013,0
2020-07-14,299.559998,312.410004,298.790009,299.670013,299.670013,0
2020-07-15,311.350006,313.429993,305.739990,313.079987,313.079987,0
2020-07-16,311.600006,314.269989,304.829987,307.989990,307.989990,0
2020-07-17,312.359985,318.149994,310.239990,317.890015,317.890015,0
2020-07-20,317.890015,328.570007,317.890015,326.980011,326.980011,0
